2795031   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. P-2                                            Unassigned
2811421   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. R79                                            Unassigned
2812863   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PSBB049                                        Unassigned
2812864   Bacteria   Actinobacteria                Actinomycetia              Corynebacteriales                        Nocardiaceae                                        Rhodococcus                        Rhodococcus sp. PSBB066                                        Unassigned
582744    Bacteria   Proteobacteria                Betaproteobacteria         Nitrosomonadales                         Methylophilaceae                                    Methylovorus                       Methylovorus glucosotrophus                                    Methylovorus glucosetrophus SIP3-4
887061    Bacteria   Proteobacteria                Betaproteobacteria         Nitrosomonadales                         Methylophilaceae                                    Methylovorus                       Methylovorus sp. MP688                                         Unassigned
376219    Bacteria   Cyanobacteria                 Unassigned                 Oscillatoriales                          Microcoleaceae                                      Limnospira                         Limnospira indica                                              Limnospira indica PCC 8005
215691    Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Thermomonas                        Thermomonas brevis                                             Unassigned
1463158   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Thermomonas                        Thermomonas carbonis                                           Unassigned
2202149   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Thermomonas                        Thermomonas sp. SY21                                           Unassigned
2714945   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Thermomonas                        Thermomonas sp. HDW16                                          Unassigned
2771436   Bacteria   Proteobacteria                Gammaproteobacteria        Xanthomonadales                          Xanthomonadaceae                                    Thermomonas                        Thermomonas sp. XSG                                            Unassigned
2756      Bacteria   Firmicutes                    Bacilli                    Bacillales                               Listeriaceae                                        Brochothrix                        Brochothrix thermosphacta                                      Unassigned
2109913   Bacteria   Proteobacteria                Betaproteobacteria         Burkholderiales                          Comamonadaceae                                      Melaminivora                       Melaminivora sp. SC2-9                                         Unassigned
37929     Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter nicotianae                                     Unassigned
37930     Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter protophormiae                                  Unassigned
162496    Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter creatinolyticus                                Unassigned
861360    Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter arilaitensis                                   Glutamicibacter arilaitensis Re117
1155384   Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter sp. ZJUTW                                      Unassigned
1775880   Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter mishrai                                        Unassigned
1933880   Bacteria   Actinobacteria                Actinomycetia              Micrococcales                            Micrococcaceae                                      Glutamicibacter                    Glutamicibacter halophytocola                                  Unassigned
2712222   Bacteria   Proteobacteria                Alphaproteobacteria        Hyphomicrobiales                         Unassigned                                          Nordella                           Nordella sp. HKS 07                                            Unassigned
483       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria cinerea                                              Unassigned
484       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria flavescens                                           Unassigned
485       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria gonorrhoeae                                          Unassigned
486       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria lactamica                                            Unassigned
487       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria meningitidis                                         Unassigned
488       Bacteria   Proteobacteria                Betaproteobacteria         Neisseriales                             Neisseriaceae                                       Neisseria                          Neisseria mucosa                                               Unassigned
